name,symbol,website_slug,circulating_supply,last_updated,max_supply,quotes,rank,total_supply
Decentralized Machine Learning,DML,decentralized-machine-learning,,,,,,
Helbiz,HBZ,helbiz,,,,,,
Origami,ORI,origami,,,,,,
Holo,HOT,holo,,,,,,
Lykke,LKK,lykke,316809739.0,1527788953.0,,"{'USD': {'price': 0.0599223, 'volume_24h': None, 'market_cap': 18983968.0, 'percent_change_1h': None, 'percent_change_24h': None, 'percent_change_7d': None}}",1000.0,1285690000.0
Golem,GNT,golem-network-tokens,839242000.0,1530473112.0,,"{'USD': {'price': 0.334711, 'volume_24h': 8622960.0, 'market_cap': 280903529.0, 'percent_change_1h': 0.25, 'percent_change_24h': -5.76, 'percent_change_7d': 18.31}}",44.0,1000000000.0
ZetaMicron,ZMC,zetamicron,600344291.0,1530473112.0,,"{'USD': {'price': 6.30948e-05, 'volume_24h': 662.769, 'market_cap': 37879.0, 'percent_change_1h': -0.31, 'percent_change_24h': -0.39, 'percent_change_7d': 3.43}}",986.0,600344291.0
Bitcurrency,BTCR,bitcurrency,169598616.0,1530473112.0,,"{'USD': {'price': 0.00145118, 'volume_24h': 57.2334, 'market_cap': 246118.0, 'percent_change_1h': -0.31, 'percent_change_24h': 9.39, 'percent_change_7d': 32.3}}",1154.0,169598616.0
Proxeus,XES,proxeus,,,,,,
Regacoin,REGA,regacoin,,1530473107.0,,"{'USD': {'price': 0.000378569, 'volume_24h': 1.08163, 'market_cap': None, 'percent_change_1h': -0.31, 'percent_change_24h': -0.39, 'percent_change_7d': 3.43}}",1572.0,42403494.0
Rublix,RBLX,rublix,,,,,,
Biotron,BTRN,biotron,,,,,,
Penta,PNT,penta,,,,,,
Nebula AI,NBAI,nebula-ai,,,,,,
Internet of People,IOP,internet-of-people,3525843.0,1530473112.0,21000000.0,"{'USD': {'price': 0.769934, 'volume_24h': 81563.1, 'market_cap': 2714667.0, 'percent_change_1h': -1.82, 'percent_change_24h': -0.64, 'percent_change_7d': -1.76}}",677.0,3931947.0
Veros,VRS,veros,12787240.0,1530473112.0,,"{'USD': {'price': 0.0272108, 'volume_24h': 10770.3, 'market_cap': 347951.0, 'percent_change_1h': -1.78, 'percent_change_24h': 5.52, 'percent_change_7d': -2.57}}",917.0,100000000.0
Hush,HUSH,hush,4197788.0,1530473112.0,21000000.0,"{'USD': {'price': 0.411314, 'volume_24h': 4710.6, 'market_cap': 1726609.0, 'percent_change_1h': -0.37, 'percent_change_24h': -2.05, 'percent_change_7d': 1.01}}",746.0,4197788.0
DAEX,DAX,daex,,,,,,
